NUMVAL;NOMVAL;COURS;DTCOURS;NUMCLI;COMMERC;QTITEVAL;Percentage;Cumulative_Percentage
FIDELITY ;SICAV PLUS;149 119;23/08/2024 00:00;9350;6;55340;29.184069527064082;29.184069527064082
FIDELITY ;SICAV PLUS;149 119;23/08/2024 00:00;60537;6;34800;18.352107328186307;47.53617685525039
FIDELITY ;SICAV PLUS;149 119;23/08/2024 00:00;45402;6;18151;9.572100577985909;57.108277433236296
FIDELITY ;SICAV PLUS;149 119;23/08/2024 00:00;59677;6;12300;6.486520693583091;63.594798126819384
FIDELITY ;SICAV PLUS;149 119;23/08/2024 00:00;54493;6;10499;5.536746403408851;69.13154453022824
FIDELITY ;SICAV PLUS;149 119;23/08/2024 00:00;59729;6;10435;5.50299540142598;74.63453993165422
FIDELITY ;SICAV PLUS;149 119;23/08/2024 00:00;58889;6;9402;4.958233135046196;79.59277306670042
FIDELITY ;SICAV PLUS;149 119;23/08/2024 00:00;61077;6;9117;4.807935704341223;84.40070877104164
FIDELITY ;SICAV PLUS;149 119;23/08/2024 00:00;60102;6;8745;4.611758005315783;89.01246677635741
FIDELITY ;SICAV PLUS;149 119;23/08/2024 00:00;62196;6;6983;3.6825507319748554;92.69501750833227
FIDELITY ;SICAV PLUS;149 119;23/08/2024 00:00;59869;6;6969;3.675167700291102;96.37018520862337
FIDELITY ;SICAV PLUS;149 119;23/08/2024 00:00;62288;6;6883;3.629814791376619;99.99999999999999
